TSR_EVENT_SMAS_HISTORY_ID,TSR_EVENT_SMAS_SAMPLE_DATE,TSR_SED_TEST_DATE,TSR_POREWATER_TEST_DATE,TSR_SEDIMENT_RSLT,TSR_SEDIMENT_RSLT_QLFR,TSR_POREWATER_RSLT,TSR_POREWATER_RSLT_QLFR,TSR_SEDIMENT_ASMT,TSR_POREWATER_ASMT
06-SANG-2.9,7/14/2009,9/23/2009,9/24/2009,44.49,,100,,Non-toxic,Non-toxic
06-HUNC-1.5,7/29/2014,9/3/2014,9/3/2014,72.74,,100,,Slight,Non-toxic
06-HUNC-1.5,7/14/2009,9/23/2009,9/24/2009,51.58,,100,,Non-toxic,Non-toxic
06-SUSQ-6.9,7/16/2009,9/23/2009,9/24/2009,43.14,,82.74,,Non-toxic,Toxic
06-OWGO-0.3,7/15/2009,9/23/2009,9/24/2009,46.64,,100,,Non-toxic,Non-toxic
06-NANT-0.8,10/6/2004,12/7/2004,12/8/2004,33.08,,100,,Slight,Non-toxic
06-NANT-0.8,7/30/2014,9/3/2014,9/3/2014,70.82,,100,,Slight,Non-toxic
06-PIPE-0.7,10/6/2004,12/7/2004,12/8/2004,63,,100,,Non-toxic,Non-toxic
06-SNAK-0.4,10/5/2004,12/7/2004,12/8/2004,66.57,,100,,Non-toxic,Non-toxic
06-CHOC-0.5,7/15/2009,9/23/2009,9/24/2009,64.13,,100,,Non-toxic,Non-toxic
06-CAYU-15.5,7/15/2009,9/23/2009,9/24/2009,40.59,,100,,Non-toxic,Non-toxic
06-LCHO-2.0,7/29/2014,9/3/2014,9/3/2014,50.67,,100,,Moderate,Non-toxic
06-PATT-0.3,7/30/2014,9/3/2014,9/3/2014,69.12,,100,,Slight,Non-toxic
06-CATA-1.7,7/30/2014,9/3/2014,9/3/2014,69.36,,97.56,,Slight,Toxic
06-CATA-1.7,10/6/2004,12/7/2004,12/8/2004,22.58,,100,,Slight,Non-toxic
07-OSWE-5.2,8/22/2007,12/12/2007,12/13/2007,7,,100,,Moderate,Non-toxic
07-SEOS-22.4,8/21/2007,12/12/2007,12/13/2007,3.71,,100,,Moderate,Non-toxic
07-LEY-0.4,8/21/2007,12/12/2007,12/13/2007,0.028,,100,,Severe,Non-toxic
07-ONON-1.0,8/7/2012,12/18/2012,12/18/2012,16.53,,100,,Moderate,Non-toxic
07-ONON-1.0,9/21/2011,9/29/2011,9/29/2011,13.38,,100,,Moderate,Non-toxic
07-WFSHO_E-2.9,8/22/2007,12/12/2007,12/13/2007,60.59,,100,,Non-toxic,Non-toxic
07-SCON-0.9,8/7/2012,12/18/2012,12/18/2012,38.48,,100,,Slight,Non-toxic
07-BNUT-20.6,8/21/2007,12/12/2007,12/13/2007,3.92,,100,,Moderate,Non-toxic
07-TOTA-0.8,8/7/2012,12/18/2012,12/18/2012,75.61,,100,,Non-toxic,Non-toxic
07-TOTA-0.8,9/2/2011,9/14/2011,9/15/2011,16.21,,100,,Moderate,Non-toxic
07-LIME-2.8,8/21/2007,12/12/2007,12/13/2007,12.17,,100,,Moderate,Non-toxic
07-FLNT-3.6,8/22/2007,12/12/2007,12/13/2007,2.49,,88.42,,Moderate,Toxic
07-GRBR-0.3,8/31/2011,9/14/2011,9/15/2011,8.24,,100,,Moderate,Non-toxic
07-GRBR-0.3,8/9/2012,12/18/2012,12/18/2012,39.82,,100,,Slight,Non-toxic
07-CONK-1.0,8/8/2012,12/18/2012,12/18/2012,72.97,,100,,Non-toxic,Non-toxic
07-SEOS-53.0,8/22/2007,12/12/2007,12/13/2007,0.12,,100,,Severe,Non-toxic
07-FALL-0.9,8/8/2012,12/18/2012,12/18/2012,48.73,,100,,Non-toxic,Non-toxic
07-CAYG-1.1,8/21/2007,12/12/2007,12/13/2007,18.1,,100,,Moderate,Non-toxic
07-TGHN-3.5,8/8/2012,12/18/2012,12/18/2012,11.32,,100,,Moderate,Non-toxic
07-TRUM-2.8,8/8/2012,12/18/2012,12/18/2012,34.69,,100,,Slight,Non-toxic
07-TRUM-2.8,9/1/2011,9/14/2011,9/15/2011,6.75,,100,,Moderate,Non-toxic
07-SXML-0.7,8/8/2012,12/18/2012,12/18/2012,31.11,,100,,Slight,Non-toxic
07-OWLI-3.0,8/21/2007,12/12/2007,12/13/2007,19.23,,100,,Moderate,Non-toxic
07-DUCH-0.2,8/8/2012,12/18/2012,12/18/2012,38.4,,100,,Slight,Non-toxic
